index,date,name,category,value
541,2020-11-01,Maryland,21,4577.0
542,2020-11-01,Massachusetts,22,3138.0
543,2020-11-01,Michigan,23,14432.0
544,2020-11-01,Minnesota,24,12407.0
545,2020-11-01,Mississippi,25,4878.0
546,2020-11-01,Missouri,26,13647.0
547,2020-11-01,Montana,27,3130.0
548,2020-11-01,Nebraska,28,6258.0
549,2020-11-01,Nevada,29,3911.0
550,2020-11-01,New Hampshire,30,224.0
551,2020-11-01,New Jersey,31,7129.0
552,2020-11-01,New Mexico,32,4968.0
553,2020-11-01,New York,33,6167.0
554,2020-11-01,New York City,1,1621.0
555,2020-11-01,North Carolina,34,9464.0
556,2020-11-01,North Dakota,35,3897.0
557,2020-11-01,Ohio,36,21442.0
558,2020-11-01,Oklahoma,37,9720.0
559,2020-11-01,Oregon,38,2171.0
560,2020-11-01,Pennsylvania,39,18230.0
561,2020-11-01,Rhode Island,40,1234.0
562,2020-11-01,South Carolina,41,4284.0
563,2020-11-01,South Dakota,42,5350.0
564,2020-11-01,Tennessee,43,11625.0
565,2020-11-01,Texas,44,41091.0
566,2020-11-01,Utah,45,2868.0
567,2020-11-01,Vermont,46,27.0
568,2020-11-01,Virginia,47,4645.0
569,2020-11-01,Washington,48,3891.0
570,2020-11-01,West Virginia,49,1820.0
571,2020-11-01,Wisconsin,50,16395.0
572,2020-11-01,Wyoming,51,1013.0
573,2020-12-01,Alabama,2,11358.0
574,2020-12-01,Alaska,3,420.0
575,2020-12-01,Arizona,4,22953.0
576,2020-12-01,Arkansas,5,7972.0
577,2020-12-01,California,6,107407.0
578,2020-12-01,Colorado,7,13929.0
579,2020-12-01,Connecticut,8,7527.0
580,2020-12-01,Delaware,9,1844.0
581,2020-12-01,District of Columbia,0,1128.0
582,2020-12-01,Florida,10,24090.0
583,2020-12-01,Georgia,11,13849.0
584,2020-12-01,Hawaii,12,101.0
585,2020-12-01,Idaho,13,3421.0
586,2020-12-01,Illinois,14,30163.0
587,2020-12-01,Indiana,15,24056.0
588,2020-12-01,Iowa,16,9159.0
589,2020-12-01,Kansas,17,9388.0
590,2020-12-01,Kentucky,18,13344.0
591,2020-12-01,Louisiana,19,7636.0
592,2020-12-01,Maine,20,895.0
593,2020-12-01,Maryland,21,11545.0
594,2020-12-01,Massachusetts,22,9573.0
595,2020-12-01,Michigan,23,21833.0
596,2020-12-01,Minnesota,24,15011.0
597,2020-12-01,Mississippi,25,8994.0
598,2020-12-01,Missouri,26,15404.0
599,2020-12-01,Montana,27,2694.0
600,2020-12-01,Nebraska,28,4733.0
601,2020-12-01,Nevada,29,10291.0
602,2020-12-01,New Hampshire,30,1624.0
603,2020-12-01,New Jersey,31,18113.0
604,2020-12-01,New Mexico,32,6479.0
605,2020-12-01,New York,33,21633.0
606,2020-12-01,New York City,1,5779.0
607,2020-12-01,North Carolina,34,17812.0
608,2020-12-01,North Dakota,35,2565.0
609,2020-12-01,Ohio,36,42421.0
610,2020-12-01,Oklahoma,37,15606.0
611,2020-12-01,Oregon,38,4271.0
612,2020-12-01,Pennsylvania,39,45806.0
613,2020-12-01,Rhode Island,40,3398.0
614,2020-12-01,South Carolina,41,9730.0
615,2020-12-01,South Dakota,42,3303.0
616,2020-12-01,Tennessee,43,19901.0
617,2020-12-01,Texas,44,58643.0
618,2020-12-01,Utah,45,3849.0
619,2020-12-01,Vermont,46,328.0
620,2020-12-01,Virginia,47,9889.0
621,2020-12-01,Washington,48,7594.0
622,2020-12-01,West Virginia,49,4928.0
623,2020-12-01,Wisconsin,50,13754.0
624,2020-12-01,Wyoming,51,1195.0
625,2021-01-01,Alabama,2,16198.0
626,2021-01-01,Alaska,3,99.0
627,2021-01-01,Arizona,4,30385.0
628,2021-01-01,Arkansas,5,8503.0
629,2021-01-01,California,6,165988.0
630,2021-01-01,Colorado,7,6293.0
631,2021-01-01,Connecticut,8,7204.0
632,2021-01-01,Delaware,9,2110.0
633,2021-01-01,District of Columbia,0,1481.0
634,2021-01-01,Florida,10,38417.0
635,2021-01-01,Georgia,11,29725.0
636,2021-01-01,Hawaii,12,195.0
637,2021-01-01,Idaho,13,1964.0
638,2021-01-01,Illinois,14,18414.0
639,2021-01-01,Indiana,15,16651.0
640,2021-01-01,Iowa,16,4988.0
641,2021-01-01,Kansas,17,6385.0
642,2021-01-01,Kentucky,18,11638.0
643,2021-01-01,Louisiana,19,9848.0
644,2021-01-01,Maine,20,1091.0
645,2021-01-01,Maryland,21,11241.0
646,2021-01-01,Massachusetts,22,12653.0
647,2021-01-01,Michigan,23,12093.0
648,2021-01-01,Minnesota,24,6770.0
649,2021-01-01,Mississippi,25,11147.0
650,2021-01-01,Missouri,26,11751.0
651,2021-01-01,Montana,27,1215.0
652,2021-01-01,Nebraska,28,2708.0
653,2021-01-01,Nevada,29,9785.0
654,2021-01-01,New Hampshire,30,1994.0
655,2021-01-01,New Jersey,31,19541.0
656,2021-01-01,New Mexico,32,4553.0
657,2021-01-01,New York,33,30406.0
658,2021-01-01,New York City,1,11821.0
659,2021-01-01,North Carolina,34,26506.0
660,2021-01-01,North Dakota,35,548.0
661,2021-01-01,Ohio,36,30321.0
662,2021-01-01,Oklahoma,37,15966.0
663,2021-01-01,Oregon,38,3406.0
664,2021-01-01,Pennsylvania,39,35553.0
665,2021-01-01,Rhode Island,40,2944.0
